0.00.514.172 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.515.798 W srv  llama_server: -----------------
0.00.515.803 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.515.804 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.515.804 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.515.804 W srv  llama_server: -----------------
0.00.527.795 I srv    load_model: loading model 'bartowski/Meta-Llama-3.1-8B-Instruct-GGUF:Q4_K_M'
0.06.604.325 I cmn          init: llama threadpool init, n_threads = 20
0.07.081.770 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 77312, kv_unified = 'true'
0.07.086.645 I srv  llama_server: model loaded
0.07.086.653 I srv  llama_server: listening on http://127.0.0.1:8081
0.08.036.563 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
0.14.751.278 I slot launch_slot_: id  2 | task 419 | processing task, is_child = 0
0.15.903.222 I slot print_timing: id  2 | task 419 | prompt eval time =      40.72 ms /    29 tokens (    1.40 ms per token,   712.13 tokens per second)
0.15.903.229 I slot print_timing: id  2 | task 419 |        eval time =    1111.09 ms /    81 tokens (   13.89 ms per token,    72.00 tokens per second)
0.15.903.230 I slot print_timing: id  2 | task 419 |       total time =    1151.82 ms /   110 tokens
0.15.903.230 I slot print_timing: id  2 | task 419 |    graphs reused =        480
0.15.903.325 I slot      release: id  2 | task 419 | stop processing: n_tokens = 2294, truncated = 0
0.15.938.286 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, f_sim_best = 0.986 (> 0.100 thold), f_keep = 0.952
0.15.938.381 I slot launch_slot_: id  2 | task 501 | processing task, is_child = 0
0.17.137.009 I slot print_timing: id  2 | task 501 | prompt eval time =      40.71 ms /    31 tokens (    1.31 ms per token,   761.48 tokens per second)
0.17.137.014 I slot print_timing: id  2 | task 501 |        eval time =    1157.79 ms /    82 tokens (   14.29 ms per token,    69.96 tokens per second)
0.17.137.015 I slot print_timing: id  2 | task 501 |       total time =    1198.50 ms /   113 tokens
0.17.137.016 I slot print_timing: id  2 | task 501 |    graphs reused =        560
0.17.137.115 I slot      release: id  2 | task 501 | stop processing: n_tokens = 2297, truncated = 0
0.17.171.598 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, f_sim_best = 0.985 (> 0.100 thold), f_keep = 0.951
0.17.171.687 I slot launch_slot_: id  2 | task 584 | processing task, is_child = 0
0.18.370.525 I slot print_timing: id  2 | task 584 | prompt eval time =      44.46 ms /    33 tokens (    1.35 ms per token,   742.17 tokens per second)
0.18.370.533 I slot print_timing: id  2 | task 584 |        eval time =    1154.24 ms /    84 tokens (   13.91 ms per token,    71.91 tokens per second)
0.18.370.534 I slot print_timing: id  2 | task 584 |       total time =    1198.71 ms /   117 tokens
0.18.370.537 I slot print_timing: id  2 | task 584 |    graphs reused =        642
0.18.370.651 I slot      release: id  2 | task 584 | stop processing: n_tokens = 2301, truncated = 0
0.18.406.036 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, f_sim_best = 0.988 (> 0.100 thold), f_keep = 0.946
0.18.406.132 I slot launch_slot_: id  2 | task 669 | processing task, is_child = 0
0.19.504.937 I slot print_timing: id  2 | task 669 | prompt eval time =      40.14 ms /    26 tokens (    1.54 ms per token,   647.68 tokens per second)
0.19.504.944 I slot print_timing: id  2 | task 669 |        eval time =    1058.53 ms /    77 tokens (   13.93 ms per token,    71.80 tokens per second)
0.19.504.945 I slot print_timing: id  2 | task 669 |       total time =    1098.67 ms /   103 tokens
0.19.504.946 I slot print_timing: id  2 | task 669 |    graphs reused =        717
0.19.505.056 I slot      release: id  2 | task 669 | stop processing: n_tokens = 2278, truncated = 0
0.19.516.397 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, f_sim_best = 0.993 (> 0.100 thold), f_keep = 0.960
0.19.516.497 I slot launch_slot_: id  2 | task 747 | processing task, is_child = 0
0.20.684.195 I slot print_timing: id  2 | task 747 | prompt eval time =      39.85 ms /    16 tokens (    2.49 ms per token,   401.53 tokens per second)
0.20.684.201 I slot print_timing: id  2 | task 747 |        eval time =    1127.72 ms /    82 tokens (   13.92 ms per token,    71.83 tokens per second)
0.20.684.202 I slot print_timing: id  2 | task 747 |       total time =    1167.57 ms /    98 tokens
0.20.684.202 I slot print_timing: id  2 | task 747 |    graphs reused =        797
0.20.684.311 I slot      release: id  2 | task 747 | stop processing: n_tokens = 2283, truncated = 0
0.20.717.939 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, f_sim_best = 0.991 (> 0.100 thold), f_keep = 0.958
0.20.718.040 I slot launch_slot_: id  2 | task 830 | processing task, is_child = 0
0.21.690.940 I slot print_timing: id  2 | task 830 | prompt eval time =      42.27 ms /    20 tokens (    2.11 ms per token,   473.15 tokens per second)
0.21.690.945 I slot print_timing: id  2 | task 830 |        eval time =     930.50 ms /    66 tokens (   14.32 ms per token,    69.85 tokens per second)
0.21.690.946 I slot print_timing: id  2 | task 830 |       total time =     972.77 ms /    86 tokens
0.21.690.947 I slot print_timing: id  2 | task 830 |    graphs reused =        861
0.21.691.054 I slot      release: id  2 | task 830 | stop processing: n_tokens = 2271, truncated = 0
0.22.977.996 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, f_sim_best = 0.992 (> 0.100 thold), f_keep = 0.963
0.22.978.099 I slot launch_slot_: id  2 | task 897 | processing task, is_child = 0
0.23.814.936 I slot print_timing: id  2 | task 897 | prompt eval time =      39.51 ms /    17 tokens (    2.32 ms per token,   430.24 tokens per second)
0.23.814.942 I slot print_timing: id  2 | task 897 |        eval time =     797.18 ms /    58 tokens (   13.99 ms per token,    71.50 tokens per second)
0.23.814.943 I slot print_timing: id  2 | task 897 |       total time =     836.69 ms /    75 tokens
0.23.814.944 I slot print_timing: id  2 | task 897 |    graphs reused =        917
0.23.815.050 I slot      release: id  2 | task 897 | stop processing: n_tokens = 2260, truncated = 0
0.23.850.012 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, f_sim_best = 0.993 (> 0.100 thold), f_keep = 0.967
0.23.850.107 I slot launch_slot_: id  2 | task 956 | processing task, is_child = 0
0.25.015.376 I slot print_timing: id  2 | task 956 | prompt eval time =      39.53 ms /    16 tokens (    2.47 ms per token,   404.76 tokens per second)
0.25.015.381 I slot print_timing: id  2 | task 956 |        eval time =    1125.61 ms /    82 tokens (   13.90 ms per token,    71.96 tokens per second)
0.25.015.382 I slot print_timing: id  2 | task 956 |       total time =    1165.14 ms /    98 tokens
0.25.015.382 I slot print_timing: id  2 | task 956 |    graphs reused =        997
0.25.015.491 I slot      release: id  2 | task 956 | stop processing: n_tokens = 2283, truncated = 0
0.25.026.783 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, f_sim_best = 0.993 (> 0.100 thold), f_keep = 0.958
0.25.026.877 I slot launch_slot_: id  2 | task 1039 | processing task, is_child = 0
0.26.165.892 I slot print_timing: id  2 | task 1039 | prompt eval time =      39.51 ms /    16 tokens (    2.47 ms per token,   404.95 tokens per second)
0.26.165.899 I slot print_timing: id  2 | task 1039 |        eval time =    1099.37 ms /    80 tokens (   13.92 ms per token,    71.86 tokens per second)
0.26.165.900 I slot print_timing: id  2 | task 1039 |       total time =    1138.88 ms /    96 tokens
0.26.165.901 I slot print_timing: id  2 | task 1039 |    graphs reused =       1075
0.26.165.996 I slot      release: id  2 | task 1039 | stop processing: n_tokens = 2281, truncated = 0
0.26.177.503 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, f_sim_best = 0.992 (> 0.100 thold), f_keep = 0.958
0.26.177.600 I slot launch_slot_: id  2 | task 1120 | processing task, is_child = 0
0.26.548.926 I slot print_timing: id  2 | task 1120 | prompt eval time =      39.80 ms /    18 tokens (    2.21 ms per token,   452.24 tokens per second)
0.26.548.932 I slot print_timing: id  2 | task 1120 |        eval time =     331.39 ms /    23 tokens (   15.06 ms per token,    66.39 tokens per second)
0.26.548.933 I slot print_timing: id  2 | task 1120 |       total time =     371.19 ms /    41 tokens
0.26.548.934 I slot print_timing: id  2 | task 1120 |    graphs reused =       1096
0.26.549.060 I slot      release: id  2 | task 1120 | stop processing: n_tokens = 2226, truncated = 0
0.26.560.337 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, f_sim_best = 0.991 (> 0.100 thold), f_keep = 0.982
0.26.560.432 I slot launch_slot_: id  2 | task 1144 | processing task, is_child = 0
0.26.934.348 I slot print_timing: id  2 | task 1144 | prompt eval time =      40.33 ms /    20 tokens (    2.02 ms per token,   495.93 tokens per second)
0.26.934.353 I slot print_timing: id  2 | task 1144 |        eval time =     333.46 ms /    25 tokens (   13.89 ms per token,    71.97 tokens per second)
0.26.934.354 I slot print_timing: id  2 | task 1144 |       total time =     373.79 ms /    45 tokens
0.26.934.355 I slot print_timing: id  2 | task 1144 |    graphs reused =       1119
0.26.934.462 I slot      release: id  2 | task 1144 | stop processing: n_tokens = 2230, truncated = 0
0.26.969.489 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, f_sim_best = 0.979 (> 0.100 thold), f_keep = 0.975
0.26.969.588 I slot launch_slot_: id  2 | task 1170 | processing task, is_child = 0
0.27.697.795 I slot print_timing: id  2 | task 1170 | prompt eval time =      46.80 ms /    46 tokens (    1.02 ms per token,   982.82 tokens per second)
0.27.697.804 I slot print_timing: id  2 | task 1170 |        eval time =     681.27 ms /    50 tokens (   13.90 ms per token,    71.92 tokens per second)
0.27.697.805 I slot print_timing: id  2 | task 1170 |       total time =     728.07 ms /    96 tokens
0.27.697.805 I slot print_timing: id  2 | task 1170 |    graphs reused =       1167
0.27.697.916 I slot      release: id  2 | task 1170 | stop processing: n_tokens = 2269, truncated = 0
0.27.727.107 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, f_sim_best = 0.981 (> 0.100 thold), f_keep = 0.960
0.27.727.205 I slot launch_slot_: id  2 | task 1221 | processing task, is_child = 0
0.30.772.948 I slot print_timing: id  2 | task 1221 | n_gen =    216, tg =  71.64 t/s, tg_3s =  71.98 t/s
0.33.784.315 I slot print_timing: id  2 | task 1221 | n_gen =    427, tg =  70.85 t/s, tg_3s =  70.07 t/s
0.36.784.695 I slot print_timing: id  2 | task 1221 | n_gen =    636, tg =  70.46 t/s, tg_3s =  69.66 t/s
0.39.793.622 I slot print_timing: id  2 | task 1221 | n_gen =    846, tg =  70.29 t/s, tg_3s =  69.79 t/s
0.42.797.965 I slot print_timing: id  2 | task 1221 | n_gen =   1052, tg =  69.95 t/s, tg_3s =  68.57 t/s
0.45.809.412 I slot print_timing: id  2 | task 1221 | n_gen =   1258, tg =  69.69 t/s, tg_3s =  68.41 t/s
0.48.810.300 I slot print_timing: id  2 | task 1221 | n_gen =   1460, tg =  69.35 t/s, tg_3s =  67.31 t/s
0.51.822.771 I slot print_timing: id  2 | task 1221 | n_gen =   1661, tg =  69.02 t/s, tg_3s =  66.72 t/s
0.54.837.388 I slot print_timing: id  2 | task 1221 | n_gen =   1862, tg =  68.76 t/s, tg_3s =  66.68 t/s
0.57.672.653 I slot print_timing: id  2 | task 1221 | prompt eval time =      44.62 ms /    42 tokens (    1.06 ms per token,   941.24 tokens per second)
0.57.672.663 I slot print_timing: id  2 | task 1221 |        eval time =   29900.70 ms /  2048 tokens (   14.61 ms per token,    68.46 tokens per second)
0.57.672.663 I slot print_timing: id  2 | task 1221 |       total time =   29945.32 ms /  2090 tokens
0.57.672.664 I slot print_timing: id  2 | task 1221 |    graphs reused =       3205
0.57.672.776 I slot      release: id  2 | task 1221 | stop processing: n_tokens = 4267, truncated = 0
0.57.685.666 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, f_sim_best = 0.979 (> 0.100 thold), f_keep = 0.510
0.57.685.756 I slot launch_slot_: id  2 | task 3270 | processing task, is_child = 0
1.00.741.252 I slot print_timing: id  2 | task 3270 | n_gen =    217, tg =  71.76 t/s, tg_3s =  72.09 t/s
1.03.754.151 I slot print_timing: id  2 | task 3270 | n_gen =    429, tg =  71.06 t/s, tg_3s =  70.36 t/s
1.06.759.938 I slot print_timing: id  2 | task 3270 | n_gen =    640, tg =  70.77 t/s, tg_3s =  70.20 t/s
1.09.768.272 I slot print_timing: id  2 | task 3270 | n_gen =    848, tg =  70.37 t/s, tg_3s =  69.14 t/s
1.12.774.153 I slot print_timing: id  2 | task 3270 | n_gen =   1054, tg =  70.00 t/s, tg_3s =  68.53 t/s
1.15.782.683 I slot print_timing: id  2 | task 3270 | n_gen =   1260, tg =  69.74 t/s, tg_3s =  68.47 t/s
1.18.783.206 I slot print_timing: id  2 | task 3270 | n_gen =   1462, tg =  69.40 t/s, tg_3s =  67.32 t/s
1.21.784.628 I slot print_timing: id  2 | task 3270 | n_gen =   1664, tg =  69.14 t/s, tg_3s =  67.30 t/s
1.24.791.968 I slot print_timing: id  2 | task 3270 | n_gen =   1863, tg =  68.81 t/s, tg_3s =  66.17 t/s
1.27.616.944 I slot print_timing: id  2 | task 3270 | prompt eval time =      45.20 ms /    46 tokens (    0.98 ms per token,  1017.72 tokens per second)
1.27.616.950 I slot print_timing: id  2 | task 3270 |        eval time =   29885.87 ms /  2048 tokens (   14.60 ms per token,    68.49 tokens per second)
1.27.616.951 I slot print_timing: id  2 | task 3270 |       total time =   29931.07 ms /  2094 tokens
1.27.616.952 I slot print_timing: id  2 | task 3270 |    graphs reused =       5243
1.27.617.069 I slot      release: id  2 | task 3270 | stop processing: n_tokens = 4271, truncated = 0
1.27.651.882 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, f_sim_best = 0.981 (> 0.100 thold), f_keep = 0.510
1.27.651.982 I slot launch_slot_: id  2 | task 5319 | processing task, is_child = 0
1.30.709.545 I slot print_timing: id  2 | task 5319 | n_gen =    217, tg =  71.71 t/s, tg_3s =  72.04 t/s
1.33.722.922 I slot print_timing: id  2 | task 5319 | n_gen =    429, tg =  71.03 t/s, tg_3s =  70.35 t/s
1.36.726.885 I slot print_timing: id  2 | task 5319 | n_gen =    640, tg =  70.77 t/s, tg_3s =  70.24 t/s
1.39.734.017 I slot print_timing: id  2 | task 5319 | n_gen =    848, tg =  70.37 t/s, tg_3s =  69.17 t/s
1.42.738.341 I slot print_timing: id  2 | task 5319 | n_gen =   1054, tg =  70.01 t/s, tg_3s =  68.57 t/s
1.45.745.238 I slot print_timing: id  2 | task 5319 | n_gen =   1260, tg =  69.76 t/s, tg_3s =  68.51 t/s
1.48.749.430 I slot print_timing: id  2 | task 5319 | n_gen =   1462, tg =  69.40 t/s, tg_3s =  67.24 t/s
1.51.751.625 I slot print_timing: id  2 | task 5319 | n_gen =   1664, tg =  69.13 t/s, tg_3s =  67.28 t/s
1.54.758.245 I slot print_timing: id  2 | task 5319 | n_gen =   1863, tg =  68.81 t/s, tg_3s =  66.19 t/s
1.57.582.766 I slot print_timing: id  2 | task 5319 | prompt eval time =      45.10 ms /    43 tokens (    1.05 ms per token,   953.42 tokens per second)
1.57.582.772 I slot print_timing: id  2 | task 5319 |        eval time =   29885.55 ms /  2048 tokens (   14.60 ms per token,    68.49 tokens per second)
1.57.582.772 I slot print_timing: id  2 | task 5319 |       total time =   29930.65 ms /  2091 tokens
1.57.582.773 I slot print_timing: id  2 | task 5319 |    graphs reused =       7281
1.57.582.880 I slot      release: id  2 | task 5319 | stop processing: n_tokens = 4268, truncated = 0
1.57.595.759 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, f_sim_best = 0.981 (> 0.100 thold), f_keep = 0.510
1.57.595.869 I slot launch_slot_: id  2 | task 7368 | processing task, is_child = 0
1.58.710.019 I slot print_timing: id  2 | task 7368 | prompt eval time =      45.19 ms /    42 tokens (    1.08 ms per token,   929.47 tokens per second)
1.58.710.025 I slot print_timing: id  2 | task 7368 |        eval time =    1068.83 ms /    78 tokens (   13.88 ms per token,    72.04 tokens per second)
1.58.710.026 I slot print_timing: id  2 | task 7368 |       total time =    1114.01 ms /   120 tokens
1.58.710.027 I slot print_timing: id  2 | task 7368 |    graphs reused =       7357
1.58.710.137 I slot      release: id  2 | task 7368 | stop processing: n_tokens = 2297, truncated = 0
1.58.737.628 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, f_sim_best = 0.981 (> 0.100 thold), f_keep = 0.948
1.58.737.729 I slot launch_slot_: id  2 | task 7447 | processing task, is_child = 0
1.59.798.310 I slot print_timing: id  2 | task 7447 | prompt eval time =      44.71 ms /    42 tokens (    1.06 ms per token,   939.39 tokens per second)
1.59.798.316 I slot print_timing: id  2 | task 7447 |        eval time =    1015.74 ms /    74 tokens (   13.91 ms per token,    71.87 tokens per second)
1.59.798.317 I slot print_timing: id  2 | task 7447 |       total time =    1060.45 ms /   116 tokens
1.59.798.318 I slot print_timing: id  2 | task 7447 |    graphs reused =       7429
1.59.798.429 I slot      release: id  2 | task 7447 | stop processing: n_tokens = 2293, truncated = 0
1.59.809.785 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, f_sim_best = 0.980 (> 0.100 thold), f_keep = 0.950
1.59.809.881 I slot launch_slot_: id  2 | task 7522 | processing task, is_child = 0
2.00.898.704 I slot print_timing: id  2 | task 7522 | prompt eval time =      44.97 ms /    44 tokens (    1.02 ms per token,   978.50 tokens per second)
2.00.898.711 I slot print_timing: id  2 | task 7522 |        eval time =    1043.73 ms /    76 tokens (   13.92 ms per token,    71.86 tokens per second)
2.00.898.711 I slot print_timing: id  2 | task 7522 |       total time =    1088.70 ms /   120 tokens
2.00.898.712 I slot print_timing: id  2 | task 7522 |    graphs reused =       7503
2.00.898.803 I slot      release: id  2 | task 7522 | stop processing: n_tokens = 2297, truncated = 0
2.00.909.877 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, f_sim_best = 0.979 (> 0.100 thold), f_keep = 0.948
2.00.909.982 I slot launch_slot_: id  2 | task 7599 | processing task, is_child = 0
2.03.968.796 I slot print_timing: id  2 | task 7599 | n_gen =    215, tg =  71.02 t/s, tg_3s =  71.35 t/s
2.06.982.239 I slot print_timing: id  2 | task 7599 | n_gen =    429, tg =  71.02 t/s, tg_3s =  71.02 t/s
2.09.991.071 I slot print_timing: id  2 | task 7599 | n_gen =    639, tg =  70.61 t/s, tg_3s =  69.79 t/s
2.12.993.863 I slot print_timing: id  2 | task 7599 | n_gen =    847, tg =  70.27 t/s, tg_3s =  69.27 t/s
2.16.001.968 I slot print_timing: id  2 | task 7599 | n_gen =   1055, tg =  70.05 t/s, tg_3s =  69.15 t/s
2.19.012.526 I slot print_timing: id  2 | task 7599 | n_gen =   1259, tg =  69.67 t/s, tg_3s =  67.76 t/s
2.22.019.358 I slot print_timing: id  2 | task 7599 | n_gen =   1463, tg =  69.41 t/s, tg_3s =  67.85 t/s
2.25.031.573 I slot print_timing: id  2 | task 7599 | n_gen =   1664, tg =  69.07 t/s, tg_3s =  66.73 t/s
2.28.038.558 I slot print_timing: id  2 | task 7599 | n_gen =   1863, tg =  68.75 t/s, tg_3s =  66.18 t/s
2.30.839.707 I slot print_timing: id  2 | task 7599 | prompt eval time =      45.30 ms /    46 tokens (    0.98 ms per token,  1015.45 tokens per second)
2.30.839.714 I slot print_timing: id  2 | task 7599 |        eval time =   29884.29 ms /  2048 tokens (   14.60 ms per token,    68.50 tokens per second)
2.30.839.715 I slot print_timing: id  2 | task 7599 |       total time =   29929.59 ms /  2094 tokens
2.30.839.715 I slot print_timing: id  2 | task 7599 |    graphs reused =       9541
2.30.839.826 I slot      release: id  2 | task 7599 | stop processing: n_tokens = 4271, truncated = 0
2.30.862.819 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, f_sim_best = 0.992 (> 0.100 thold), f_keep = 0.509
2.30.862.944 I slot launch_slot_: id  2 | task 9648 | processing task, is_child = 0
2.31.194.425 I slot print_timing: id  2 | task 9648 | prompt eval time =      39.80 ms /    18 tokens (    2.21 ms per token,   452.30 tokens per second)
2.31.194.431 I slot print_timing: id  2 | task 9648 |        eval time =     291.55 ms /    22 tokens (   13.88 ms per token,    72.03 tokens per second)
2.31.194.431 I slot print_timing: id  2 | task 9648 |       total time =     331.35 ms /    40 tokens
2.31.194.432 I slot print_timing: id  2 | task 9648 |    graphs reused =       9561
2.31.194.545 I slot      release: id  2 | task 9648 | stop processing: n_tokens = 2212, truncated = 0
2.31.206.531 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, f_sim_best = 0.996 (> 0.100 thold), f_keep = 0.987
2.31.206.646 I slot launch_slot_: id  2 | task 9671 | processing task, is_child = 0
2.31.634.097 I slot print_timing: id  2 | task 9671 | prompt eval time =      37.60 ms /     8 tokens (    4.70 ms per token,   212.74 tokens per second)
2.31.634.103 I slot print_timing: id  2 | task 9671 |        eval time =     389.72 ms /    29 tokens (   13.92 ms per token,    71.85 tokens per second)
2.31.634.104 I slot print_timing: id  2 | task 9671 |       total time =     427.32 ms /    37 tokens
2.31.634.105 I slot print_timing: id  2 | task 9671 |    graphs reused =       9588
2.31.634.201 I slot      release: id  2 | task 9671 | stop processing: n_tokens = 2219, truncated = 0
2.31.664.348 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, f_sim_best = 0.995 (> 0.100 thold), f_keep = 0.984
2.31.664.515 I slot launch_slot_: id  2 | task 9701 | processing task, is_child = 0
2.32.107.412 I slot print_timing: id  2 | task 9701 | prompt eval time =      38.84 ms /    12 tokens (    3.24 ms per token,   308.99 tokens per second)
2.32.107.418 I slot print_timing: id  2 | task 9701 |        eval time =     403.93 ms /    30 tokens (   13.93 ms per token,    71.80 tokens per second)
2.32.107.419 I slot print_timing: id  2 | task 9701 |       total time =     442.76 ms /    42 tokens
2.32.107.419 I slot print_timing: id  2 | task 9701 |    graphs reused =       9616
2.32.107.535 I slot      release: id  2 | task 9701 | stop processing: n_tokens = 2224, truncated = 0
2.32.142.393 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, f_sim_best = 0.996 (> 0.100 thold), f_keep = 0.982
2.32.142.563 I slot launch_slot_: id  2 | task 9732 | processing task, is_child = 0
2.32.581.936 I slot print_timing: id  2 | task 9732 | prompt eval time =      38.75 ms /     9 tokens (    4.31 ms per token,   232.24 tokens per second)
2.32.581.942 I slot print_timing: id  2 | task 9732 |        eval time =     400.48 ms /    28 tokens (   14.83 ms per token,    67.42 tokens per second)
